category,topic,level,word_es,translation_ru,source
Базовые слова,Время и погода,A1,a menudo,часто,пользователь
Базовые слова,Время и погода,A1,a veces,иногда,пользователь
Базовые слова,Время и погода,A1,ahora,сейчас,пользователь
Базовые слова,Время и погода,A1,anteayer,позавчера,пользователь
Базовые слова,Время и погода,A1,ayer,вчера,пользователь
Базовые слова,Время и погода,A1,enseguida,сразу,пользователь
Базовые слова,Время и погода,A1,entonces,тогда,пользователь
Базовые слова,Время и погода,A1,está lloviendo,идёт дождь,пользователь
Базовые слова,Время и погода,A1,está nevando,идёт снег,пользователь
Базовые слова,Время и погода,A1,está nublado,облачно,пользователь
Базовые слова,Время и погода,A1,hace calor,жарко,пользователь
Базовые слова,Время и погода,A1,hace fresco,прохладно,пользователь
Базовые слова,Время и погода,A1,hace frío,холодно,пользователь
Базовые слова,Время и погода,A1,hace sol,солнечно,пользователь
Базовые слова,Время и погода,A1,hace viento,ветрено,пользователь
Базовые слова,Время и погода,A1,hoy,сегодня,пользователь
Базовые слова,Время и погода,A1,mañana,завтра,пользователь
Базовые слова,Время и погода,A1,nunca,никогда,пользователь
Базовые слова,Время и погода,A1,pasado mañana,послезавтра,пользователь
Базовые слова,Время и погода,A1,por la mañana,утром,пользователь
Базовые слова,Время и погода,A1,por la noche,"вечером, ночью",пользователь
Базовые слова,Время и погода,A1,por la tarde,"днём, вечером",пользователь
Базовые слова,Время и погода,A1,pronto,скоро,пользователь
Базовые слова,Время и погода,A1,siempre,всегда,пользователь
Базовые слова,Время и погода,A1,tarde,поздно,пользователь
Базовые слова,Время и погода,A1,temprano,рано,пользователь
Базовые слова,Календарь,A1,abril,апрель,Claude (proespanol.ru)
Базовые слова,Календарь,A1,agosto,август,Claude (proespanol.ru)
Базовые слова,Календарь,A1,cada semana,каждую неделю,Claude (proespanol.ru)
Базовые слова,Календарь,A1,dentro de una semana,через неделю,Claude (proespanol.ru)
Базовые слова,Календарь,A1,diciembre,декабрь,Claude (proespanol.ru)
Базовые слова,Календарь,A1,el invierno,зима,Claude (proespanol.ru)
Базовые слова,Календарь,A1,el otoño,осень,Claude (proespanol.ru)
Базовые слова,Календарь,A1,el verano,лето,Claude (proespanol.ru)
Базовые слова,Календарь,A1,enero,январь,Claude (proespanol.ru)
Базовые слова,Календарь,A1,entre semana,среди недели,Claude (proespanol.ru)
Базовые слова,Календарь,A1,febrero,февраль,Claude (proespanol.ru)
Базовые слова,Календарь,A1,jornada semanal,рабочая неделя,Claude (proespanol.ru)
Базовые слова,Календарь,A1,julio,июль,Claude (proespanol.ru)
Базовые слова,Календарь,A1,junio,июнь,Claude (proespanol.ru)
Базовые слова,Календарь,A1,la primavera,весна,Claude (proespanol.ru)
Базовые слова,Календарь,A1,marzo,март,Claude (proespanol.ru)
Базовые слова,Календарь,A1,mayo,май,Claude (proespanol.ru)
Базовые слова,Календарь,A1,noviembre,ноябрь,Claude (proespanol.ru)
Базовые слова,Календарь,A1,octubre,октябрь,Claude (proespanol.ru)
Базовые слова,Календарь,A1,septiembre,сентябрь,Claude (proespanol.ru)
Базовые слова,Календарь,A2,año,год,пользователь
Базовые слова,Календарь,A2,calendario,календарь,Claude (proespanol.ru)
Базовые слова,Календарь,A2,domingo,воскресенье,пользователь
Базовые слова,Календарь,A2,década,десятилетие,пользователь
Базовые слова,Календарь,A2,día,день,пользователь
Базовые слова,Календарь,A2,el año,год,Claude (proespanol.ru)
Базовые слова,Календарь,A2,el día,день,Claude (proespanol.ru)
Базовые слова,Календарь,A2,el mes,месяц,Claude (proespanol.ru)
Базовые слова,Календарь,A2,estaciones del año,времена года,Claude (proespanol.ru)
Базовые слова,Календарь,A2,fin de semana,выходные,пользователь
Базовые слова,Календарь,A2,hora,час,пользователь
Базовые слова,Календарь,A2,instante,"миг, мгновение",пользователь
Базовые слова,Календарь,A2,jueves,четверг,пользователь
Базовые слова,Календарь,A2,la próxima semana,на будущей неделе,Claude (proespanol.ru)
Базовые слова,Календарь,A2,la semana,неделя,Claude (proespanol.ru)
Базовые слова,Календарь,A2,lunes,понедельник,пользователь
Базовые слова,Календарь,A2,martes,вторник,пользователь
Базовые слова,Календарь,A2,mes,месяц,пользователь
Базовые слова,Календарь,A2,milenio,тысячелетие,пользователь
Базовые слова,Календарь,A2,minuto,минута,пользователь
